City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.918,25.5701,67.32,91,0,11.5,clear sky
1,Iwanai,JP,42.9744,140.5089,51.01,56,0,17.96,clear sky
2,Busselton,AU,-33.65,115.3333,64.15,43,54,13.62,broken clouds
3,Ayutuxtepeque,SV,13.7456,-89.2064,73.06,100,50,1.01,scattered clouds
4,Freeport,US,40.6576,-73.5832,53.02,87,100,6.91,overcast clouds
5,Mentougou,CN,39.9392,116.0917,61.74,31,100,4.09,overcast clouds
6,Bengkulu,ID,-3.8004,102.2655,79.84,80,100,2.21,overcast clouds
7,Turukhansk,RU,65.8167,87.9833,26.62,86,88,8.03,overcast clouds
8,Qaanaaq,GL,77.484,-69.3632,-9.29,79,8,8.05,clear sky
9,Tabas,IR,33.5959,56.9244,81.59,25,97,4.18,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,18.41,scattered clouds
11,Mataura,NZ,-46.1927,168.8643,52.48,82,45,0.6,scattered clouds
12,Sorland,NO,67.667,12.6934,35.46,99,100,3.98,light rain
13,Torbay,CA,47.6666,-52.7314,34.57,94,100,14.97,light snow
14,Severo-Kurilsk,RU,50.6789,156.125,36.09,70,100,21.77,overcast clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,78,40,12.66,scattered clouds
16,Fortuna,US,40.5982,-124.1573,53.65,88,70,1.77,broken clouds
17,Mahebourg,MU,-20.4081,57.7,80.26,88,75,3.44,broken clouds
18,Avarua,CK,-21.2078,-159.775,77.05,83,75,5.75,broken clouds
19,Richards Bay,ZA,-28.783,32.0377,71.31,85,1,10.85,clear sky
20,Benguela,AO,-12.5763,13.4055,78.33,84,96,1.86,overcast clouds
21,Georgetown,MY,5.4112,100.3354,87.75,73,20,3.44,few clouds
22,Bektemir,UZ,41.2097,69.3342,68.05,45,0,9.22,clear sky
23,Novouzensk,RU,50.4592,48.1431,62.29,55,14,2.68,few clouds
24,Piacabucu,BR,-10.4056,-36.4344,77.2,84,14,5.1,few clouds
25,Wukari,NG,7.85,9.7833,80.4,74,97,9.53,overcast clouds
26,Chuy,UY,-33.6971,-53.4616,62.1,89,46,8.25,scattered clouds
27,Kudat,MY,6.8837,116.8477,89.53,70,20,4.61,few clouds
