City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bud,US,2023-01-27 04:22:58,39.447,-86.1758,24.98,85,99,8.86
1,Poum,NC,2023-01-27 04:22:59,-20.2333,164.0167,82.45,78,21,9.24
2,Punta Arenas,CL,2023-01-27 04:22:59,-53.15,-70.9167,46.51,66,0,13.8
3,Santa Isabel,BR,2023-01-27 04:23:00,-23.3156,-46.2214,65.5,96,48,1.97
4,Vaini,TO,2023-01-27 04:23:00,-21.2,-175.2,82.56,89,75,4.61
5,Rikitea,PF,2023-01-27 04:23:00,-23.1203,-134.9692,79.07,74,100,13.73
6,Qaanaaq,GL,2023-01-27 04:23:01,77.484,-69.3632,-6.03,69,80,5.48
7,Castro,BR,2023-01-27 04:23:01,-24.7911,-50.0119,56.25,90,0,5.41
8,Moose Factory,CA,2023-01-27 04:23:01,51.2585,-80.6094,-22.02,76,0,4.61
9,Jamestown,US,2023-01-27 04:23:02,42.097,-79.2353,29.79,97,100,7.0
10,Severo-Kurilsk,RU,2023-01-27 04:23:02,50.6789,156.125,31.53,88,92,11.3
11,Yar-Sale,RU,2023-01-27 04:23:03,66.8333,70.8333,10.02,94,77,9.73
12,Mataura,NZ,2023-01-27 04:23:03,-46.1927,168.8643,62.2,50,81,9.35
13,Ulaangom,MN,2023-01-27 04:23:04,49.9811,92.0667,-10.79,98,98,2.62
14,Hervey Bay,AU,2023-01-27 04:23:04,-25.2986,152.8535,81.27,64,100,4.83
15,Tuy Hoa,VN,2023-01-27 04:23:05,13.0833,109.3,73.99,86,99,16.49
16,Hithadhoo,MV,2023-01-27 04:23:05,-0.6,73.0833,80.64,72,47,3.38
17,Evensk,RU,2023-01-27 04:23:05,61.95,159.2333,7.79,62,100,28.54
18,Albany,US,2023-01-27 04:21:31,42.6001,-73.9662,28.58,69,98,8.43
19,Laramie,US,2023-01-27 04:18:33,41.3114,-105.5911,25.18,64,100,28.77
20,Ushuaia,AR,2023-01-27 04:21:56,-54.8,-68.3,42.46,81,75,9.22
21,Muros,ES,2023-01-27 04:23:06,42.7762,-9.0603,48.09,84,72,15.1
22,Kapaa,US,2023-01-27 04:23:07,22.0752,-159.319,73.38,65,40,17.27
23,Hobart,AU,2023-01-27 04:23:08,-42.8794,147.3294,80.22,44,0,14.97
24,Palmer,US,2023-01-27 04:21:59,42.1584,-72.3287,35.15,60,100,17.27
25,Hearst,CA,2023-01-27 04:23:08,49.6835,-83.6665,-14.55,100,92,2.89
26,Timizart,DZ,2023-01-27 04:23:09,36.8,4.2667,39.16,84,73,4.32
27,Hermanus,ZA,2023-01-27 04:23:09,-34.4187,19.2345,62.8,83,18,6.78
28,Kaitangata,NZ,2023-01-27 04:23:10,-46.2817,169.8464,62.33,59,96,10.27
29,Bluff,NZ,2023-01-27 04:23:10,-46.6,168.3333,58.96,54,22,18.72
30,Kavaratti,IN,2023-01-27 04:23:10,10.5669,72.642,79.66,77,28,9.22
31,Bafq,IR,2023-01-27 04:23:11,31.6128,55.4107,34.27,92,99,4.07
32,Pevek,RU,2023-01-27 04:23:11,69.7008,170.3133,-13.27,79,2,6.62
33,Padang,ID,2023-01-27 04:23:12,-0.9492,100.3543,76.06,91,100,4.05
34,Bilibino,RU,2023-01-27 04:23:12,68.0546,166.4372,-15.29,84,2,9.04
35,Lomza,PL,2023-01-27 04:23:12,53.1781,22.0593,29.77,95,100,2.1
36,Avarua,CK,2023-01-27 04:23:13,-21.2078,-159.775,84.25,74,20,8.05
37,Saskylakh,RU,2023-01-27 04:23:13,71.9167,114.0833,-37.16,94,26,12.3
38,Grindavik,IS,2023-01-27 04:23:13,63.8424,-22.4338,35.55,100,75,44.87
39,Matagami,CA,2023-01-27 04:23:14,49.7502,-77.6328,-9.29,84,100,5.75
40,Novikovo,RU,2023-01-27 04:23:14,51.1537,37.8879,24.03,71,0,1.12
41,Santiago Del Estero,AR,2023-01-27 04:23:15,-27.7951,-64.2615,86.0,47,66,4.85
42,Laon,FR,2023-01-27 04:23:15,49.5667,3.6667,36.12,91,95,12.82
43,Busselton,AU,2023-01-27 04:23:15,-33.65,115.3333,71.2,52,98,11.86
44,Saint-Philippe,RE,2023-01-27 04:23:16,-21.3585,55.7679,81.99,83,100,2.48
45,Moche,PE,2023-01-27 04:23:16,-8.1711,-79.0092,69.98,83,100,8.05
46,Talara,PE,2023-01-27 04:23:17,-4.5772,-81.2719,72.45,82,43,8.32
47,At-Bashi,KG,2023-01-27 04:23:17,41.1702,75.8106,4.78,74,2,2.01
48,Teacapan,MX,2023-01-27 04:23:18,22.55,-105.75,66.36,84,88,2.95
49,Medianeira,BR,2023-01-27 04:21:57,-25.2953,-54.0939,72.68,52,16,5.01
50,Tiksi,RU,2023-01-27 04:23:18,71.6872,128.8694,-37.66,97,81,3.2
